trade_id,timestamp,symbol,direction,status,gate_combo_tag,rr_ratio,rejection_reason,outcome,margin_allocated,leverage,notional_position,dynamic_tp_pct,dynamic_sl_pct,actual_mfe_pct,actual_mae_pct,gross_return_pct,gross_pnl,fees_paid,slippage_cost,friction_tax,net_pnl,account_equity,drawdown_pct,shadow_net_pnl,date_utc
162,2026-07-31 17:30:00+00:00,XRPUSDT,LONG,REJECTED,HIGH_RISK__HIGH_QUAL__LOW_PROFIT,0.42,R:R Hurdle Failure: R:R = 0.42 < 1.00,SHADOW_TIME_CLOSE_EXIT,0.0,0.0,0.0,0.25,0.6,0.22,-0.04,-0.33,0.0,0.0,0.0,0.0,0.0,10002.58,0.37,-0.4,2026-07-31
163,2026-07-31 17:45:00+00:00,ETHUSDT,LONG,REJECTED,HIGH_RISK__LOW_QUAL__HIGH_PROFIT,0.35,R:R Hurdle Failure: R:R = 0.35 < 1.00,SHADOW_TIME_CLOSE_EXIT,0.0,0.0,0.0,0.19,0.54,0.17,-0.08,-0.36,0.0,0.0,0.0,0.0,0.0,10002.58,0.37,-0.14,2026-07-31
164,2026-07-31 18:00:00+00:00,SOLUSDT,LONG,EXECUTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,1.12,None,TIME_CLOSE_EXIT,150.04,3.0,450.12,0.28,0.25,0.25,-0.03,0.0,0.0,0.36,0.45,0.81,-0.81,10001.77,0.38,,2026-07-31
165,2026-07-31 18:15:00+00:00,SOLUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,5.98,None,TIME_CLOSE_EXIT,150.03,5.0,750.13,1.54,0.26,0.89,-0.33,0.27,2.03,0.6,0.75,1.35,0.68,10002.44,0.37,,2026-07-31
166,2026-07-31 18:30:00+00:00,BTCUSDT,LONG,REJECTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,0.46,R:R Hurdle Failure: R:R = 0.46 < 1.00,SHADOW_TAKE_PROFIT_HIT,0.0,0.0,0.0,0.12,0.27,0.22,-0.11,0.12,0.0,0.0,0.0,0.0,0.0,10002.44,0.37,-0.26,2026-07-31
167,2026-07-31 19:00:00+00:00,XRPUSDT,SHORT,EXECUTED,LOW_RISK__LOW_QUAL__LOW_PROFIT,2.62,None,TIME_CLOSE_EXIT,50.01,5.0,250.06,1.16,0.44,0.35,-0.31,0.0,0.0,0.2,0.25,0.45,-0.45,10001.99,0.37,,2026-07-31
168,2026-07-31 19:30:00+00:00,BTCUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,2.9,None,TIME_CLOSE_EXIT,150.03,5.0,750.15,0.58,0.2,0.25,-0.08,0.04,0.3,0.6,0.75,1.35,-1.05,10000.94,0.38,,2026-07-31
169,2026-07-31 19:45:00+00:00,ETHUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__HIGH_PROFIT,3.84,None,TIME_CLOSE_EXIT,150.01,5.0,750.07,0.96,0.25,0.5,-0.14,0.12,0.9,0.6,0.75,1.35,-0.45,10000.49,0.39,,2026-07-31
170,2026-07-31 20:45:00+00:00,DOGEUSDT,SHORT,EXECUTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,1.18,None,TIME_CLOSE_EXIT,150.01,3.0,450.02,0.78,0.66,0.12,-0.26,-0.35,-1.58,0.36,0.45,0.81,-2.39,9998.11,0.41,,2026-07-31
171,2026-07-31 22:15:00+00:00,DOGEUSDT,LONG,REJECTED,HIGH_RISK__HIGH_QUAL__LOW_PROFIT,0.64,R:R Hurdle Failure: R:R = 0.64 < 1.00,SHADOW_TIME_CLOSE_EXIT,0.0,0.0,0.0,0.24,0.38,0.0,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,9998.11,0.41,-0.14,2026-07-31
172,2026-07-31 22:30:00+00:00,DOGEUSDT,SHORT,EXECUTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,1.75,None,TIME_CLOSE_EXIT,149.97,3.0,449.91,0.52,0.3,0.24,-0.16,0.09,0.4,0.36,0.45,0.81,-0.4,9997.7,0.42,,2026-07-31
173,2026-08-01 00:30:00+00:00,DOGEUSDT,LONG,REJECTED,HIGH_RISK__HIGH_QUAL__LOW_PROFIT,0.67,R:R Hurdle Failure: R:R = 0.67 < 1.00,SHADOW_TAKE_PROFIT_HIT,0.0,0.0,0.0,0.37,0.56,0.56,-0.43,0.37,0.0,0.0,0.0,0.0,0.0,9997.7,0.42,0.15,2026-08-01
174,2026-08-01 00:30:00+00:00,ETHUSDT,LONG,EXECUTED,LOW_RISK__LOW_QUAL__LOW_PROFIT,1.89,None,TIME_CLOSE_EXIT,49.99,5.0,249.94,0.29,0.15,0.26,-0.15,0.04,0.1,0.2,0.25,0.45,-0.35,9997.35,0.42,,2026-08-01
