trade_id,timestamp,symbol,direction,status,gate_combo_tag,rejection_reason,outcome,margin_allocated,leverage,notional_position,dynamic_tp_pct,dynamic_sl_pct,actual_mfe_pct,actual_mae_pct,gross_return_pct,gross_pnl,fees_paid,slippage_cost,friction_tax,net_pnl,account_equity,drawdown_pct,shadow_net_pnl,date_utc
761,2026-08-21 19:30:00+00:00,SOLUSDT,SHORT,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,73.38,2.5,183.46,0.62,1.66,0.29,-0.58,-1.06,-1.94,0.15,0.18,0.33,-2.27,9782.33,2.46,,2026-08-21
762,2026-08-21 20:30:00+00:00,BTCUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TAKE_PROFIT_HIT,73.37,2.5,183.42,1.08,0.68,1.66,-0.2,1.08,1.99,0.15,0.18,0.33,1.66,9783.99,2.44,,2026-08-21
763,2026-08-21 20:30:00+00:00,SOLUSDT,LONG,EXECUTED,MED_RISK__LOW_QUAL__HIGH_PROFIT,None,TAKE_PROFIT_HIT,24.46,2.5,61.15,3.16,0.73,11.84,-0.34,3.16,1.93,0.05,0.06,0.11,1.82,9785.81,2.42,,2026-08-21
764,2026-08-21 21:30:00+00:00,XRPUSDT,LONG,REJECTED,HIGH_RISK__LOW_QUAL__LOW_PROFIT,Consensus Failure: HIGH_RISK + LOW_QUAL + LOW_PROFIT,SHADOW_TAKE_PROFIT_HIT,0.0,0.0,0.0,3.84,1.97,20.92,-1.98,3.84,0.0,0.0,0.0,0.0,0.0,9785.81,2.42,0.45,2026-08-21
765,2026-08-22 01:30:00+00:00,BTCUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,146.79,5.0,733.94,0.45,0.48,0.17,-0.4,-0.17,-1.25,0.59,0.73,1.32,-2.57,9783.24,2.45,,2026-08-22
766,2026-08-22 02:15:00+00:00,BTCUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,73.37,2.5,183.44,0.99,0.75,0.55,-0.45,0.09,0.17,0.15,0.18,0.33,-0.17,9783.08,2.45,,2026-08-22
767,2026-08-22 05:00:00+00:00,BTCUSDT,SHORT,EXECUTED,MED_RISK__HIGH_QUAL__LOW_PROFIT,None,TAKE_PROFIT_HIT,73.37,2.5,183.43,0.99,2.03,1.08,-1.61,0.99,1.81,0.15,0.18,0.33,1.48,9784.55,2.43,,2026-08-22
768,2026-08-22 05:00:00+00:00,ETHUSDT,SHORT,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TAKE_PROFIT_HIT,73.38,2.5,183.46,1.55,2.7,2.46,-2.99,1.55,2.85,0.15,0.18,0.33,2.52,9787.07,2.41,,2026-08-22
769,2026-08-22 05:30:00+00:00,DOGEUSDT,SHORT,EXECUTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,None,TAKE_PROFIT_HIT,146.81,3.0,440.42,2.5,2.97,2.82,-4.09,2.5,11.03,0.35,0.44,0.79,10.24,9797.31,2.31,,2026-08-22
770,2026-08-22 05:45:00+00:00,SOLUSDT,SHORT,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TAKE_PROFIT_HIT,73.48,2.5,183.7,1.4,2.48,3.07,-1.37,1.4,2.57,0.15,0.18,0.33,2.24,9799.55,2.28,,2026-08-22
