Direction,Type,Target,Max_Depth,Min_Samples_Leaf,Score,Time_s
LONG,Classification,class_target_bad,8,1,0.8188018298598371,15.084547519683838
LONG,Classification,class_target_bad,8,5,0.8198900011802721,15.1272451877594
LONG,Classification,class_target_bad,8,10,0.8203893739377139,15.455754518508911
LONG,Classification,class_target_bad,8,20,0.8204849163590288,14.502257108688354
LONG,Classification,class_target_bad,10,1,0.8185242636077898,17.884357929229736
LONG,Classification,class_target_bad,10,5,0.8199512292843568,17.53444766998291
LONG,Classification,class_target_bad,10,10,0.8220930213530918,17.155489683151245
LONG,Classification,class_target_bad,10,20,0.8214758124828959,16.270089149475098
LONG,Classification,class_target_bad,15,1,0.8156510299220143,23.185428619384766
LONG,Classification,class_target_bad,15,5,0.8202673824513449,21.75699496269226
LONG,Classification,class_target_bad,15,10,0.8203826295456678,20.160967111587524
LONG,Classification,class_target_bad,15,20,0.8220533977462218,19.002207040786743
SHORT,Classification,class_target_1,3,1,0.6333387552492649,32.517935037612915
SHORT,Classification,class_target_1,3,5,0.6333278473481275,32.48105263710022
SHORT,Classification,class_target_1,3,10,0.6333373763952209,31.859708070755005
SHORT,Classification,class_target_1,3,20,0.6334572697801585,32.77579069137573
SHORT,Classification,class_target_1,5,1,0.6666153474487786,51.34052109718323
SHORT,Classification,class_target_1,5,5,0.6665703153753352,52.09986972808838
SHORT,Classification,class_target_1,5,10,0.6670211329332436,52.34335017204285
SHORT,Classification,class_target_1,5,20,0.6669275568875087,50.96458339691162
SHORT,Classification,class_target_1,6,1,0.6765834523736787,60.95232820510864
SHORT,Classification,class_target_1,6,5,0.6768805135377115,61.69898247718811
SHORT,Classification,class_target_1,6,10,0.6776290054071828,60.4091260433197
SHORT,Classification,class_target_1,6,20,0.6775359809812367,59.25510501861572
SHORT,Classification,class_target_1,8,1,0.6871651657865272,77.51497983932495
SHORT,Classification,class_target_1,8,5,0.6868241266539622,77.76088905334473
SHORT,Classification,class_target_1,8,10,0.6884002394220567,75.98597884178162
SHORT,Classification,class_target_1,8,20,0.6895581246714589,74.40772795677185
SHORT,Classification,class_target_1,10,1,0.6872230387929779,94.85899376869202
SHORT,Classification,class_target_1,10,5,0.6920370049249721,92.36421012878418
SHORT,Classification,class_target_1,10,10,0.693313399239389,90.37804055213928
SHORT,Classification,class_target_1,10,20,0.6935371628281761,85.44659447669983
SHORT,Classification,class_target_1,15,1,0.6802251215668227,125.9261965751648
SHORT,Classification,class_target_1,15,5,0.6900227354557911,115.44933605194092
SHORT,Classification,class_target_1,15,10,0.6942352081787184,105.68529605865479
SHORT,Classification,class_target_1,15,20,0.6966413611435428,98.51719450950623
SHORT,Classification,class_target_2,3,1,0.6995217635660402,32.19727349281311
SHORT,Classification,class_target_2,3,5,0.6995232998972135,32.59174871444702
SHORT,Classification,class_target_2,3,10,0.6995423529409694,32.30075526237488
SHORT,Classification,class_target_2,3,20,0.6994976088636854,32.68454575538635
SHORT,Classification,class_target_2,5,1,0.7213130692219462,51.77441072463989
SHORT,Classification,class_target_2,5,5,0.7211969397075846,50.646536111831665
SHORT,Classification,class_target_2,5,10,0.7209126918442775,50.727006912231445
SHORT,Classification,class_target_2,5,20,0.7213584672274614,50.22714352607727
SHORT,Classification,class_target_2,6,1,0.7296231500779623,59.4928822517395
SHORT,Classification,class_target_2,6,5,0.7296307164240733,58.90150570869446
SHORT,Classification,class_target_2,6,10,0.7302632662019406,59.51049757003784
SHORT,Classification,class_target_2,6,20,0.7299235953654978,59.628530979156494
SHORT,Classification,class_target_2,8,1,0.7390383218524688,77.41926145553589
SHORT,Classification,class_target_2,8,5,0.739746681459277,76.31327605247498
SHORT,Classification,class_target_2,8,10,0.7405968774192317,74.69603967666626
SHORT,Classification,class_target_2,8,20,0.7404311561920651,73.43012857437134
SHORT,Classification,class_target_2,10,1,0.74052447995636,94.19381332397461
SHORT,Classification,class_target_2,10,5,0.7432977451643794,90.97442841529846
SHORT,Classification,class_target_2,10,10,0.7430034398501679,91.9621229171753
SHORT,Classification,class_target_2,10,20,0.7453167149682657,86.09778547286987
SHORT,Classification,class_target_2,15,1,0.7344191207121299,124.63020491600037
SHORT,Classification,class_target_2,15,5,0.7412350584953361,112.98029708862305
SHORT,Classification,class_target_2,15,10,0.7441067741382263,107.8891921043396
SHORT,Classification,class_target_2,15,20,0.7465760165128701,92.86435079574585
SHORT,Classification,class_target_3_corrected,3,1,0.8631309661651528,6.042487859725952
SHORT,Classification,class_target_3_corrected,3,5,0.8631325035011141,5.937129259109497
SHORT,Classification,class_target_3_corrected,3,10,0.8631400234569414,5.9488091468811035
SHORT,Classification,class_target_3_corrected,3,20,0.8631027700611458,5.944853782653809
SHORT,Classification,class_target_3_corrected,5,1,0.8700193879450969,7.95912504196167
SHORT,Classification,class_target_3_corrected,5,5,0.8702678320890478,7.957898855209351
SHORT,Classification,class_target_3_corrected,5,10,0.8702878803022237,8.083785057067871
SHORT,Classification,class_target_3_corrected,5,20,0.8700980778211026,8.130601167678833
SHORT,Classification,class_target_3_corrected,6,1,0.8722942298572475,9.017486095428467
SHORT,Classification,class_target_3_corrected,6,5,0.8728631985831198,9.558278560638428
SHORT,Classification,class_target_3_corrected,6,10,0.8722871708896884,9.0040762424469
SHORT,Classification,class_target_3_corrected,6,20,0.871961676512553,8.84671688079834
SHORT,Classification,class_target_3_corrected,8,1,0.874561660276888,11.011098623275757
SHORT,Classification,class_target_3_corrected,8,5,0.8753669969604934,10.929835319519043
SHORT,Classification,class_target_3_corrected,8,10,0.8750904901847318,10.745948076248169
SHORT,Classification,class_target_3_corrected,8,20,0.8754771359445371,10.633118391036987
SHORT,Classification,class_target_3_corrected,10,1,0.8748161299136274,12.81816554069519
SHORT,Classification,class_target_3_corrected,10,5,0.8763563315988605,12.499725341796875
SHORT,Classification,class_target_3_corrected,10,10,0.8769960301450123,12.362856149673462
SHORT,Classification,class_target_3_corrected,10,20,0.8766969287240782,11.89700984954834
SHORT,Classification,class_target_3_corrected,15,1,0.8723719110263245,16.23416233062744
SHORT,Classification,class_target_3_corrected,15,5,0.8759147893249419,15.023587226867676
SHORT,Classification,class_target_3_corrected,15,10,0.8773483161225922,14.479402780532837
SHORT,Classification,class_target_3_corrected,15,20,0.877151247937556,13.543406009674072
SHORT,Classification,class_target_bad,3,1,0.8191646708950773,5.949008941650391
SHORT,Classification,class_target_bad,3,5,0.8191812477322082,5.951661586761475
SHORT,Classification,class_target_bad,3,10,0.8191821546436824,5.9319679737091064
SHORT,Classification,class_target_bad,3,20,0.8192224353855344,5.941751480102539
SHORT,Classification,class_target_bad,5,1,0.8250118098668189,7.961977005004883
SHORT,Classification,class_target_bad,5,5,0.825640377573092,8.015231132507324
SHORT,Classification,class_target_bad,5,10,0.8253496588764376,7.904323101043701
SHORT,Classification,class_target_bad,5,20,0.8247862691039025,7.844134330749512
SHORT,Classification,class_target_bad,6,1,0.8270904319888442,8.91121530532837
SHORT,Classification,class_target_bad,6,5,0.8270948377560096,9.016761541366577
SHORT,Classification,class_target_bad,6,10,0.8275832620824701,8.871059656143188
SHORT,Classification,class_target_bad,6,20,0.8267632623433198,8.871754169464111
SHORT,Classification,class_target_bad,8,1,0.8286808223764005,10.867082595825195
SHORT,Classification,class_target_bad,8,5,0.8295556802733446,11.003299236297607
SHORT,Classification,class_target_bad,8,10,0.8296680299096041,10.9944429397583
SHORT,Classification,class_target_bad,8,20,0.8301031449695027,10.559035062789917
SHORT,Classification,class_target_bad,10,1,0.8283022030410369,12.939815044403076
SHORT,Classification,class_target_bad,10,5,0.8306153596319158,12.762512922286987
SHORT,Classification,class_target_bad,10,10,0.8308221514712562,12.557072401046753
SHORT,Classification,class_target_bad,10,20,0.8305927400552445,12.021829605102539
SHORT,Classification,class_target_bad,15,1,0.8227592024299485,16.5980384349823
SHORT,Classification,class_target_bad,15,5,0.8291709538099677,15.386037111282349
SHORT,Classification,class_target_bad,15,10,0.8307854187768624,14.677927494049072
SHORT,Classification,class_target_bad,15,20,0.8310831212399495,13.452178001403809
LONG,Regression,profit,2,1,0.06367893609878014,4.9719531536102295
LONG,Regression,profit,2,5,0.06747250410866326,4.9571990966796875
LONG,Regression,profit,2,10,0.06739074210454477,4.92315411567688
LONG,Regression,profit,2,20,0.06967101795880981,4.843265056610107
LONG,Regression,profit,3,1,0.054402202860469796,6.491022825241089
LONG,Regression,profit,3,5,0.07980373965843872,6.403406381607056
LONG,Regression,profit,3,10,0.08676363237488312,6.383973121643066
LONG,Regression,profit,3,20,0.09077144451086443,6.49118709564209
LONG,Regression,profit,4,1,0.055432944064296816,7.930354356765747
LONG,Regression,profit,4,5,0.082710048763842,8.070655107498169
LONG,Regression,profit,4,10,0.09517469680936419,7.9367921352386475
LONG,Regression,profit,4,20,0.10212058982475539,7.9066548347473145
LONG,Regression,profit,5,1,0.045288618518123866,9.420773267745972
LONG,Regression,profit,5,5,0.09790853569274256,9.42971134185791
LONG,Regression,profit,5,10,0.10267877519179514,9.388148307800293
LONG,Regression,profit,5,20,0.11006607343106116,9.45221209526062
LONG,Regression,profit,6,1,0.040374145127390015,10.934471607208252
LONG,Regression,profit,6,5,0.08877172957741726,10.884980201721191
LONG,Regression,profit,6,10,0.10842748304348693,10.864603519439697
LONG,Regression,profit,6,20,0.11311348122624436,10.887005090713501
LONG,Regression,profit,7,1,0.057385205670375285,12.729145526885986
LONG,Regression,profit,7,5,0.09829897635375247,13.048179149627686
LONG,Regression,profit,7,10,0.11083781144206403,12.498237609863281
LONG,Regression,profit,7,20,0.11669484320288097,11.887317419052124
LONG,Regression,quality,2,1,0.01015722049128096,3.9796454906463623
LONG,Regression,quality,2,5,0.011735920224323904,3.9832069873809814
LONG,Regression,quality,2,10,0.012670956985175907,3.9817757606506348
LONG,Regression,quality,2,20,0.013535714034266188,4.137267589569092
LONG,Regression,quality,3,1,0.002734129348315029,4.945606231689453
LONG,Regression,quality,3,5,0.009631179882215447,5.164278984069824
LONG,Regression,quality,3,10,0.018935911941987005,5.054534673690796
LONG,Regression,quality,3,20,0.025448065365898033,5.158153295516968
LONG,Regression,quality,4,1,-0.023630648607614192,6.09573221206665
LONG,Regression,quality,4,5,0.020027207495934184,6.269376754760742
LONG,Regression,quality,4,10,0.02327438749514288,6.025229215621948
LONG,Regression,quality,4,20,0.03399398678085752,5.769632816314697
LONG,Regression,quality,5,1,-0.024254671364771708,6.916713714599609
LONG,Regression,quality,5,5,0.018773216074348276,6.985220193862915
LONG,Regression,quality,5,10,0.0339228130921452,6.860706567764282
LONG,Regression,quality,5,20,0.03847701120923237,6.884677886962891
LONG,Regression,quality,6,1,-0.037560773724993404,7.952019453048706
LONG,Regression,quality,6,5,0.024411590405971562,7.89939022064209
LONG,Regression,quality,6,10,0.03688982395247804,7.75333571434021
LONG,Regression,quality,6,20,0.040064478064495576,7.999641418457031
LONG,Regression,quality,7,1,-0.017611244768274515,8.99972152709961
LONG,Regression,quality,7,5,0.029332500270236685,8.862672805786133
LONG,Regression,quality,7,10,0.032797250631160325,8.782299995422363
LONG,Regression,quality,7,20,0.04348964719607962,8.663655281066895
LONG,Regression,danger,2,1,0.4487439777355057,9.844238042831421
LONG,Regression,danger,2,5,0.44957521652106414,9.83536410331726
LONG,Regression,danger,2,10,0.45126239329954476,9.799633979797363
LONG,Regression,danger,2,20,0.45024325116883707,9.78513503074646
LONG,Regression,danger,3,1,0.4978745288965909,13.699738025665283
LONG,Regression,danger,3,5,0.4989396921749423,13.583117008209229
LONG,Regression,danger,3,10,0.5003622065143432,13.805048942565918
LONG,Regression,danger,3,20,0.4966564827338509,13.850272417068481
LONG,Regression,danger,4,1,0.5161943903488702,17.85749101638794
LONG,Regression,danger,4,5,0.517388135787006,17.61740779876709
LONG,Regression,danger,4,10,0.5169921482000316,17.668439149856567
LONG,Regression,danger,4,20,0.5132145750187811,17.61570143699646
LONG,Regression,danger,5,1,0.5245076608633885,21.532880306243896
LONG,Regression,danger,5,5,0.5259531829509478,21.505443334579468
LONG,Regression,danger,5,10,0.5242369038525061,21.366182804107666
LONG,Regression,danger,5,20,0.5205506787648139,21.250389099121094
LONG,Regression,danger,6,1,0.5273744963168241,24.88565969467163
LONG,Regression,danger,6,5,0.5307648137334878,25.297139406204224
LONG,Regression,danger,6,10,0.5297697805075192,24.788478136062622
LONG,Regression,danger,6,20,0.5247205635756034,25.02385902404785
LONG,Regression,danger,7,1,0.5298746922591391,28.700260877609253
LONG,Regression,danger,7,5,0.5337951515911203,28.958956956863403
LONG,Regression,danger,7,10,0.5326136657375107,28.487476587295532
LONG,Regression,danger,7,20,0.5284148332504085,28.272480726242065
