Direction,Type,Target,n_estimators,Score,Time_s
LONG,Regression,exit_timing,150,0.041150061623304236,94.05604767799377
LONG,Regression,exit_timing,200,0.04096583473286346,125.79188799858093
LONG,Regression,exit_timing,300,0.04127304583627558,188.22995829582214
SHORT,Regression,profit,50,0.1456031489806174,15.027990341186523
SHORT,Regression,profit,100,0.14640266929188678,28.705021858215332
SHORT,Regression,profit,150,0.14698945673584304,41.97348475456238
SHORT,Regression,profit,200,0.14645811528912495,56.63804483413696
SHORT,Regression,profit,300,0.14660728261368153,83.8545835018158
SHORT,Regression,quality,50,0.06228939773175159,6.502916097640991
SHORT,Regression,quality,100,0.06488812484763762,12.25983190536499
SHORT,Regression,quality,150,0.065520031686121,17.820083379745483
SHORT,Regression,quality,200,0.0652985652153248,23.26732087135315
SHORT,Regression,quality,300,0.06556899926185174,34.029906034469604
SHORT,Regression,danger,50,0.5042495180124474,23.990362405776978
SHORT,Regression,danger,100,0.5055229955890529,46.22491717338562
SHORT,Regression,danger,150,0.5055423209243282,76.79849624633789
SHORT,Regression,danger,200,0.5053961864741193,98.06907653808594
SHORT,Regression,danger,300,0.5051037460328547,140.6075484752655
SHORT,Regression,entry_timing,50,0.013830915379932529,5.382909059524536
SHORT,Regression,entry_timing,100,0.014328049781808083,8.989631175994873
SHORT,Regression,entry_timing,150,0.014324366997041005,13.470587491989136
SHORT,Regression,entry_timing,200,0.014612198859484504,17.382532119750977
SHORT,Regression,entry_timing,300,0.01475113029831141,25.020225286483765
SHORT,Regression,exit_timing,50,0.03652852721809852,35.913806438446045
SHORT,Regression,exit_timing,100,0.03811271152825444,71.78397989273071
SHORT,Regression,exit_timing,150,0.038614464583496086,102.77932572364807
SHORT,Regression,exit_timing,200,0.03864949657355308,133.06322598457336
SHORT,Regression,exit_timing,300,0.03904903865014089,199.31526684761047
